code,numeric_code,our_name,yahoo_name,similarity,category,normalized_ours,normalized_yahoo
PMCK,0363,"PMCK Holdings","PMCK",100,MATCH,"PMCK","PMCK"
PMETAL,8869,"Press Metal Aluminium Holdings Berhad","PMETAL",24,MISMATCH,"PRESS METAL ALUMINIUM BHD","PMETAL"
PMW,0379,"PM Resources Berhad","PMW",13,MISMATCH,"PM RESOURCES BHD","PMW"
PNE,0322,"PNE PCB Berhad","KHB",9,MISMATCH,"PNE PCB BHD","KHB"
POHKONG,5080,"Poh Kong Holdings","POHKONG",88,MATCH,"POH KONG","POHKONG"
POHUAT,7088,"Poh Huat Resources","POHUAT",33,MISMATCH,"POH HUAT RESOURCES","POHUAT"
POLYMER,0381,"Polymer Link Holdings Berhad","POLYMER",44,MISMATCH,"POLYMER LINK BHD","POLYMER"
POS,4634,"Pos Malaysia Berhad","POS",19,MISMATCH,"POS MALAYSIA BHD","POS"
POWER,0355,"Power Holdings Berhad","FIBRO",11,MISMATCH,"POWER BHD","FIBRO"
PPB,4065,"PPB Group Berhad","PPB",43,MISMATCH,"PPB BHD","PPB"
PPJACK,0242,"Pappajack Berhad","PPJACK",46,MISMATCH,"PAPPAJACK BHD","PPJACK"
PREGEN,0348,"Pregen Berhad","CLITE",10,MISMATCH,"PREGEN BHD","CLITE"
PRESTAR,9873,"Prestar Resources Berhad","PRESTAR",33,MISMATCH,"PRESTAR RESOURCES BHD","PRESTAR"
PRIVA,0123,"Privasia Technology Berhad","PRIVA",22,MISMATCH,"PRIVASIA TECHNOLOGY BHD","PRIVA"
PRKCORP,8346,"Perak Corporation","PRKCORP",70,MISMATCH,"PERAK CORP","PRKCORP"
PTARAS,9598,"Pintaras Jaya Berhad","PTARAS",35,MISMATCH,"PINTARAS JAYA BHD","PTARAS"
PTRANS,0186,"Perak Transit Berhad","PTRANS",35,MISMATCH,"PERAK TRANSIT BHD","PTRANS"
PTRB,0260,"PT Resources","PTRB",25,MISMATCH,"PT RESOURCES","PTRB"
PUC,0007,"PUC Berhad","PUC",43,MISMATCH,"PUC BHD","PUC"
PWF,7134,"PWF Corporation Bhd","PWF",25,MISMATCH,"PWF CORP BHD","PWF"
PWROOT,7237,"Power Root Berhad","PWROOT",43,MISMATCH,"POWER ROOT BHD","PWROOT"
PWRWELL,0217,"Powerwell Holdings Berhad","PWRWELL",54,MISMATCH,"POWERWELL BHD","PWRWELL"
QES,0196,"QES Group Berhad","QES",43,MISMATCH,"QES BHD","QES"
QL,7084,"QL Resources Berhad","QL",13,MISMATCH,"QL RESOURCES BHD","QL"
QUALITY,7544,"Quality Concrete","QUALITY",44,MISMATCH,"QUALITY CONCRETE","QUALITY"
RADIUM,0228,"Radium Development Berhad","HPPHB",9,MISMATCH,"RADIUM DEVELOPMENT BHD","HPPHB"
RAMSSOL,0220,"Ramssol Group Berhad","OVH",18,MISMATCH,"RAMSSOL BHD","OVH"
RAMSSOL2,0236,"Ramssol Group Berhad","RAMSSOL",64,MISMATCH,"RAMSSOL BHD","RAMSSOL"
RANHILL,5272,"Ranhill Utilities Berhad","RANHILL",33,MISMATCH,"RANHILL UTILITIES BHD","RANHILL"
RCECAP,9296,"RCE Capital Berhad","RCECAP",40,MISMATCH,"RCE CAPITAL BHD","RCECAP"
REACHTEN,5332,"Reach Ten Holdings Berhad","REACHTEN",62,MISMATCH,"REACH TEN BHD","REACHTEN"
REDONE,0357,"Red One Berhad","OHM",18,MISMATCH,"RED ONE BHD","OHM"
REDTONE,0032,"REDtone Digital Berhad","REDTONE",37,MISMATCH,"REDTONE DIGITAL BHD","REDTONE"
REVENUE,0200,"Revenue Group Berhad","REVENUE",64,MISMATCH,"REVENUE BHD","REVENUE"
RGB,0037,"RGB International Bhd","RGB",25,MISMATCH,"RGB INTL BHD","RGB"
RHBBANK,1066,"RHB Bank Berhad","RHBBANK",58,MISMATCH,"RHB BANK BHD","RHBBANK"
RSAWIT,5113,"Rimbunan Sawit Berhad","RSAWIT",33,MISMATCH,"RIMBUNAN SAWIT BHD","RSAWIT"
SAB,5134,"Southern Acids (M) Berhad","SAB",17,MISMATCH,"SOUTHERN ACIDS BHD","SAB"
SAG,0360,"Signature Alliance Group Berhad","SAG",9,MISMATCH,"SIGNATURE ALLIANCE BHD","SAG"
SALCON,8567,"Salcon Berhad","SALCON",60,MISMATCH,"SALCON BHD","SALCON"
SALIRAN,0346,"Saliran Group Berhad","SALIRAN",64,MISMATCH,"SALIRAN BHD","SALIRAN"
SAM,9822,"SAM Engineering & Equipment (M) Berhad","SAM",10,MISMATCH,"SAM ENGINEERING EQUIPMENT BHD","SAM"
SAMAIDEN,0223,"Samaiden Group Berhad","SAMAIDEN",67,MISMATCH,"SAMAIDEN BHD","SAMAIDEN"
SAPIND,7811,"SAP Industry","SAPIND",50,MISMATCH,"SAP INDUSTRY","SAPIND"
SAPRES,4596,"Sarawak Plantation","SAPRES",17,MISMATCH,"SARAWAK PLANTATION","SAPRES"
SBAGAN,2569,"Sungei Bagan Rubber Company (Malaya) Berhad","SBAGAN",16,MISMATCH,"SUNGEI BAGAN RUBBER COMPANY MALAYA BHD","SBAGAN"
SBH,0300,"SB Holdings Berhad","SBH",50,MISMATCH,"SB BHD","SBH"
SCBUILD,0109,"SC Build","SCBUILD",88,MATCH,"SC BUILD","SCBUILD"
SCC,0158,"SCC Holdings Berhad","SCC",43,MISMATCH,"SCC BHD","SCC"
SCGBHD,0225,"Southern Cable Group Berhad","SCGBHD",28,MISMATCH,"SOUTHERN CABLE BHD","SCGBHD"
SCICOM,0099,"Scicom (MSC) Berhad","SCICOM",43,MISMATCH,"SCICOM MSC BHD","SCICOM"
SCIENTX,4731,"Scientex Berhad","SCIENTX",58,MISMATCH,"SCIENTEX BHD","SCIENTX"
SCIPACK,8125,"Scientex Packaging","SCIPACK",39,MISMATCH,"SCIENTEX PACKAGING","SCIPACK"
SCOMNET,0001,"Supercomnet Technologies Berhad","SCOMNET",25,MISMATCH,"SUPERCOMNET TECHNOLOGIES BHD","SCOMNET"
SCOPE,0028,"Scope Industries Berhad","SCOPE",25,MISMATCH,"SCOPE INDUSTRIES BHD","SCOPE"
SDG,5285,"SD Guthrie Berhad","SDG",21,MISMATCH,"SD GUTHRIE BHD","SDG"
SDS,0212,"SDS Group Berhad","SDS",43,MISMATCH,"SDS BHD","SDS"
SEAL,4286,"Seal Incorporated Berhad","SEAL",19,MISMATCH,"SEAL INCORPORATED BHD","SEAL"
SEDANIA,0178,"Sedania Innovator Berhad","SEDANIA",33,MISMATCH,"SEDANIA INNOVATOR BHD","SEDANIA"
SEG,9792,"SEG International Bhd","SEG",25,MISMATCH,"SEG INTL BHD","SEG"
SEM,5250,"7-Eleven Malaysia Holdings Berhad","SEM",10,MISMATCH,"7 ELEVEN MALAYSIA BHD","SEM"
SENDAI,5205,"Eversendai Corporation Berhad","SENDAI",32,MISMATCH,"EVERSENDAI CORP BHD","SENDAI"
SENFONG,5308,"Seng Fong Holdings Berhad","SENFONG",54,MISMATCH,"SENG FONG BHD","SENFONG"
SENHENG,5305,"Senheng New Retail Berhad","SENHENG",32,MISMATCH,"SENHENG NEW RETAIL BHD","SENHENG"
SENTRAL,5123,"Sentral REIT","SENTRAL",58,MISMATCH,"SENTRAL REIT","SENTRAL"
SERNKOU,7180,"Sern Kou Resources Berhad","SERNKOU",32,MISMATCH,"SERN KOU RESOURCES BHD","SERNKOU"
SERSOL,0055,"Serba Dinamik Holdings Berhad","SERSOL",18,MISMATCH,"SERBA DINAMIK BHD","SERSOL"
SFPTECH,0251,"SFP Tech Holdings Berhad","SFPTECH",58,MISMATCH,"SFP TECH BHD","SFPTECH"
SG,5157,"SG Holdings","SG",100,MATCH,"SG","SG"
SHANG,5517,"Shangri-La Hotels (Malaysia) Berhad","SHANG",24,MISMATCH,"SHANGRI LA HOTELS BHD","SHANG"
SHL,6017,"SHL Consolidated Bhd","SHL",15,MISMATCH,"SHL CONSOLIDATED BHD","SHL"
SIGN,7246,"Signature International Berhad","SIGN",22,MISMATCH,"SIGNATURE INTL BHD","SIGN"
SIME,4197,"Sime Darby Berhad","SIME",29,MISMATCH,"SIME DARBY BHD","SIME"
SIMEPROP,5288,"Sime Darby Property Berhad","SIMEPROP",35,MISMATCH,"SIME DARBY PROPERTY BHD","SIMEPROP"
SKPRES,7155,"SKP Resources Bhd","SKPRES",35,MISMATCH,"SKP RESOURCES BHD","SKPRES"
SKYWLD,0201,"SkyWorld Development Berhad","NOVA",8,MISMATCH,"SKYWORLD DEVELOPMENT BHD","NOVA"
SLP,7248,"SLP Resources Berhad","SLP",18,MISMATCH,"SLP RESOURCES BHD","SLP"
SLVEST,0207,"Solarvest Holdings Berhad","MESTRON",23,MISMATCH,"SOLARVEST BHD","MESTRON"
SMETRIC,0203,"Smart Metric Group Berhad","SMETRIC",44,MISMATCH,"SMART METRIC BHD","SMETRIC"
SMRT,0117,"SMRT Holdings Berhad","SMRT",50,MISMATCH,"SMRT BHD","SMRT"
SNS,0259,"SNS Network","SNS",27,MISMATCH,"SNS NETWORK","SNS"
SOLID,5242,"Solid Automotive","SOLID",31,MISMATCH,"SOLID AUTOMOTIVE","SOLID"
SOLUTN,0093,"Solution Engineering Holdings Berhad","SOLUTN",25,MISMATCH,"SOLUTION ENGINEERING BHD","SOLUTN"
SOP,5126,"Sarawak Oil Palms Berhad","SOP",14,MISMATCH,"SARAWAK OIL PALMS BHD","SOP"
SORENTO,0326,"Sorento Capital Berhad","SORENTO",37,MISMATCH,"SORENTO CAPITAL BHD","SORENTO"
SPRITZER,7222,"Spritzer Bhd","IMASPRO",8,MISMATCH,"SPRITZER BHD","IMASPRO"
SPSETIA,8664,"S P Setia Berhad","SPSETIA",54,MISMATCH,"S P SETIA BHD","SPSETIA"
SPTOTO,1562,"Sports Toto Berhad","SPTOTO",40,MISMATCH,"SPORTS TOTO BHD","SPTOTO"
SRIDGE,0129,"Sunridge Group Berhad","SRIDGE",50,MISMATCH,"SUNRIDGE BHD","SRIDGE"
SSB8,0045,"Southern Score Builders Berhad","SSB8",11,MISMATCH,"SOUTHERN SCORE BUILDERS BHD","SSB8"
SSF,0287,"SSF Corporation","SSF",38,MISMATCH,"SSF CORP","SSF"
SSTEEL,5665,"Southern Steel Berhad","SSTEEL",33,MISMATCH,"SOUTHERN STEEL BHD","SSTEEL"
STAR,6084,"Star Media Group Berhad","STAR",29,MISMATCH,"STAR MEDIA BHD","STAR"
STGROUP,0368,"ST Group Food Industries Holdings Berhad","OXB",9,MISMATCH,"ST FOOD INDUSTRIES BHD","OXB"
STRAITS,0080,"Straits Inter Logistics Berhad","STRAITS",26,MISMATCH,"STRAITS INTER LOGISTICS BHD","STRAITS"
SUMI,0349,"SumiSaujana Group Berhad","SUMI",27,MISMATCH,"SUMISAUJANA BHD","SUMI"
SUNCON,5263,"Sunway Construction Group Berhad","SUNCON",26,MISMATCH,"SUNWAY CONSTRUCTION BHD","SUNCON"
SUNLOGY,0345,"Sunlogy Holdings","SUNLOGY",100,MATCH,"SUNLOGY","SUNLOGY"
SUNREIT,5176,"Sunway Real Estate Investment Trust","SUNREIT",20,MISMATCH,"SUNWAY REAL ESTATE INVESTMENT TRUST","SUNREIT"
SUNSURIA,3743,"Sunsuria Berhad","SUNSURIA",67,MISMATCH,"SUNSURIA BHD","SUNSURIA"
SUNVIEW,0262,"Sunview Group Berhad","SUNVIEW",64,MISMATCH,"SUNVIEW BHD","SUNVIEW"
SUNWAY,5211,"Sunway Berhad","SUNWAY",60,MISMATCH,"SUNWAY BHD","SUNWAY"
SUNZEN,0148,"Sunzen Biotech Berhad","SUNZEN",33,MISMATCH,"SUNZEN BIOTECH BHD","SUNZEN"
SUPERLN,7235,"Superlon Holdings","SUPERLN",88,MATCH,"SUPERLON","SUPERLN"
SUPERMX,7106,"Supermax Corporation Berhad","SUPERMX",41,MISMATCH,"SUPERMAX CORP BHD","SUPERMX"
SURIA,6521,"Suria Capital Holdings Berhad","SURIA",29,MISMATCH,"SURIA CAPITAL BHD","SURIA"
SWIFT,5303,"Swift Haulage Berhad","SWIFT",29,MISMATCH,"SWIFT HAULAGE BHD","SWIFT"
SWKPLNT,5135,"Sarawak Plantation Berhad","SWKPLNT",32,MISMATCH,"SARAWAK PLANTATION BHD","SWKPLNT"
SYGROUP,5173,"Shin Yang Group Berhad","SYGROUP",15,MISMATCH,"SHIN YANG BHD","SY"
SYSTECH,0050,"Systech Berhad","SYSTECH",64,MISMATCH,"SYSTECH BHD","SYSTECH"
T7GLOBAL,7228,"T7 Global Berhad","T7GLOBAL",62,MISMATCH,"T7 GLOBAL BHD","T7GLOBAL"
TAANN,5012,"Ta Ann Holdings Berhad","TAANN",50,MISMATCH,"TA ANN BHD","TAANN"
TAGHILL,0241,"Taghill Berhad","TAGHILL",64,MISMATCH,"TAGHILL BHD","TAGHILL"
TAKAFUL,6139,"Syarikat Takaful Malaysia Keluarga Berhad","TAKAFUL",18,MISMATCH,"SYARIKAT TAKAFUL MALAYSIA KELUARGA BHD","TAKAFUL"
TALIWRK,8524,"Taliworks Corporation Berhad","TALIWRK",39,MISMATCH,"TALIWORKS CORP BHD","TALIWRK"
TAMBUN,5191,"Tambun Indah Land Berhad","TAMBUN",29,MISMATCH,"TAMBUN INDAH LAND BHD","TAMBUN"
TANCO,2429,"Tanco Holdings Berhad","TANCO",56,MISMATCH,"TANCO BHD","TANCO"
TASCO,5140,"TASCO Berhad","TASCO",56,MISMATCH,"TASCO BHD","TASCO"
TCHONG,4405,"Tan Chong Motor Holdings Berhad","TCHONG",32,MISMATCH,"TAN CHONG MOTOR BHD","TCHONG"
TCS,0221,"TCS Group Holdings Berhad","TCS",43,MISMATCH,"TCS BHD","TCS"
TDEX,0132,"Tele Dynamics Holdings Berhad","TDEX",12,MISMATCH,"TELE DYNAMICS BHD","TDEX"
TDM,2054,"TDM Berhad","TDM",43,MISMATCH,"TDM BHD","TDM"
TECGUAN,7439,"Tec Guan Holdings","TECGUAN",88,MATCH,"TEC GUAN","TECGUAN"
TECHBASE,8966,"Techbase Holdings","TECHBASE",100,MATCH,"TECHBASE","TECHBASE"
TELADAN,0106,"Teladan Group Berhad","REXIT",9,MISMATCH,"TELADAN BHD","REXIT"
TENAGA,5347,"Tenaga Nasional Berhad","TENAGA",32,MISMATCH,"TENAGA NASIONAL BHD","TENAGA"
TEOSENG,7252,"Teo Seng Capital Berhad","TEOSENG",35,MISMATCH,"TEO SENG CAPITAL BHD","TEOSENG"
TEXCYCL,0089,"Tex Cycle Technology (M) Berhad","TEXCYCL",29,MISMATCH,"TEX CYCLE TECHNOLOGY BHD","TEXCYCL"
TFP,0145,"TFP Solutions","TFP",23,MISMATCH,"TFP SOLUTIONS","TFP"
TGUAN,7034,"Thong Guan Industries Berhad","TGUAN",20,MISMATCH,"THONG GUAN INDUSTRIES BHD","TGUAN"
THMY,0375,"THMY Holdings Berhad","THMY",50,MISMATCH,"THMY BHD","THMY"
THPLANT,5112,"TH Plantations Berhad","THPLANT",39,MISMATCH,"TH PLANTATIONS BHD","THPLANT"
TIMECOM,5031,"TIME dotCom Berhad","TIMECOM",47,MISMATCH,"TIME DOTCOM BHD","TIMECOM"
TITIJYA,5239,"Titijaya Land Berhad","TITIJYA",41,MISMATCH,"TITIJAYA LAND BHD","TITIJYA"
TM,4863,"Telekom Malaysia Berhad","TM",10,MISMATCH,"TELEKOM MALAYSIA BHD","TM"
TMCLIFE,0101,"TMC Life Sciences Berhad","TMCLIFE",33,MISMATCH,"TMC LIFE SCIENCES BHD","TMCLIFE"
TMK,5330,"TMK Chemical Bhd","TMK",19,MISMATCH,"TMK CHEMICAL BHD","TMK"
TNLOGIS,8397,"Tiong Nam Logistics Holdings Berhad","TNLOGIS",30,MISMATCH,"TIONG NAM LOGISTICS BHD","TNLOGIS"
TOMEI,7230,"Tomei Consolidated Berhad","TOMEI",23,MISMATCH,"TOMEI CONSOLIDATED BHD","TOMEI"
TOPGLOV,7113,"Top Glove Corporation Bhd","TOPGLOV",39,MISMATCH,"TOP GLOVE CORP BHD","TOPGLOV"
TRIVE,0118,"Trive Property","TRIVE",36,MISMATCH,"TRIVE PROPERTY","TRIVE"
TROP,5401,"Tropicana Corporation Berhad","TROP",22,MISMATCH,"TROPICANA CORP BHD","TROP"
TSH,9059,"TSH Resources Berhad","TSH",18,MISMATCH,"TSH RESOURCES BHD","TSH"
UCHITEC,7100,"Uchi Technologies Berhad","UCHITEC",33,MISMATCH,"UCHI TECHNOLOGIES BHD","UCHITEC"
UCREST,0005,"UCrest Berhad","UCREST",60,MISMATCH,"UCREST BHD","UCREST"
UEMS,5148,"UEM Sunrise Berhad","UEMS",27,MISMATCH,"UEM SUNRISE BHD","UEMS"
ULICORP,7133,"United U-LI Corporation Berhad","ULICORP",35,MISMATCH,"UNITED U LI CORP BHD","ULICORP"
UMC,0256,"United Malayan Land","UMC",11,MISMATCH,"UNITED MALAYAN LAND","UMC"
UMCCA,2593,"UMCCA Berhad","UMCCA",56,MISMATCH,"UMCCA BHD","UMCCA"
UMSINT,5340,"UMS Integration Limited","UMSINT",26,MISMATCH,"UMS INTEGRATION LIMITED","UMSINT"
UNISEM,5005,"Unisem (M) Berhad","UNISEM",60,MISMATCH,"UNISEM BHD","UNISEM"
UNITRAD,0247,"Unitrade Industries Berhad","UNITRAD",30,MISMATCH,"UNITRADE INDUSTRIES BHD","UNITRAD"
UOADEV,5200,"UOA Development Bhd","UOADEV",32,MISMATCH,"UOA DEVELOPMENT BHD","UOADEV"
UOAREIT,5110,"Uoa Real Estate Investment","UOAREIT",27,MISMATCH,"UOA REAL ESTATE INVESTMENT","UOAREIT"
UTDPLT,2089,"United Plantations Berhad","UTDPLT",27,MISMATCH,"UNITED PLANTATIONS BHD","UTDPLT"
UUE,0240,"UUE Holdings Berhad","CORAZA",0,MISMATCH,"UUE BHD","CORAZA"
UWC,5292,"UWC Berhad","UWC",43,MISMATCH,"UWC BHD","UWC"
UZMA,7250,"Uzma Berhad","UZMA",50,MISMATCH,"UZMA BHD","UZMA"
VANTNRG,5218,"Vantage Energy","VANTNRG",50,MISMATCH,"VANTAGE ENERGY","VANTNRG"
VARIA,5006,"Varia Berhad","VARIA",56,MISMATCH,"VARIA BHD","VARIA"
VELESTO,5243,"Velesto Energy Berhad","VELESTO",39,MISMATCH,"VELESTO ENERGY BHD","VELESTO"
VINVEST,0069,"VinVest Capital Holdings Berhad","VINVEST",37,MISMATCH,"VINVEST CAPITAL BHD","VINVEST"
VIS,0120,"VIS Engineering","VIS",20,MISMATCH,"VIS ENGINEERING","VIS"
VITROX,0097,"ViTrox Corporation Berhad","VITROX",40,MISMATCH,"VITROX CORP BHD","VITROX"
VLB,0273,"Vestland Berhad","VLB",25,MISMATCH,"VESTLAND BHD","VLB"
VS,6963,"VS Industry","VS",18,MISMATCH,"VS INDUSTRY","VS"
VSOLAR,0066,"VSolar Group Berhad","VSOLAR",60,MISMATCH,"VSOLAR BHD","VSOLAR"
VSTECS,5162,"VSTECS Berhad","VSTECS",60,MISMATCH,"VSTECS BHD","VSTECS"
WASCO,5142,"Wasco Berhad","WASCO",56,MISMATCH,"WASCO BHD","WASCO"
WCEHB,3565,"WCE Holdings Berhad","WCEHB",57,MISMATCH,"WCE BHD","WCEHB"
WCT,9679,"WCT Holdings Berhad","WCT",43,MISMATCH,"WCT BHD","WCT"
WELLCAL,7231,"Wellcall Holdings Berhad","WELLCAL",58,MISMATCH,"WELLCALL BHD","WELLCAL"
WELLCHIP,5325,"Well Chip Group Berhad","WELLCHIP",62,MISMATCH,"WELL CHIP BHD","WELLCHIP"
WELLS,0271,"Wellspire Holdings Berhad","WELLS",38,MISMATCH,"WELLSPIRE BHD","WELLS"
WENTEL,0298,"Wentel Engineering Holdings Berhad","WENTEL",27,MISMATCH,"WENTEL ENGINEERING BHD","WENTEL"
WESTRVR,0353,"West River Holdings Berhad","WESTRVR",50,MISMATCH,"WEST RIVER BHD","WESTRVR"
WONG,7050,"Wong Engineering","WONG",25,MISMATCH,"WONG ENGINEERING","WONG"
WPRTS,5246,"Westports Holdings Berhad","WPRTS",38,MISMATCH,"WESTPORTS BHD","WPRTS"
WTK,4243,"W T K Holdings Berhad","WTK",33,MISMATCH,"W T K BHD","WTK"
XL,7121,"XL Holdings","XL",100,MATCH,"XL","XL"
XOXNET,0140,"XOX Network Berhad","XOXNET",40,MISMATCH,"XOX NETWORK BHD","XOXNET"
XPB,0370,"XPB Holdings","XPB",100,MATCH,"XPB","XPB"
YBS,0025,"YBS International Berhad","YBS",25,MISMATCH,"YBS INTL BHD","YBS"
YEWLEE,0248,"Yew Lee Pacific Group Berhad","YEWLEE",32,MISMATCH,"YEW LEE PACIFIC BHD","YEWLEE"
YGL,0086,"YGL Convergence Berhad","YGL",16,MISMATCH,"YGL CONVERGENCE BHD","YGL"
YINSON,7293,"Yinson Holdings","YINSON",100,MATCH,"YINSON","YINSON"
YOCB,5159,"Yoong Onn Corporation Berhad","YOCB",22,MISMATCH,"YOONG ONN CORP BHD","YOCB"
YSPSAH,7178,"Y.S.P. Southeast Asia Holding Berhad","YSPSAH",25,MISMATCH,"Y S P SOUTHEAST ASIA BHD","YSPSAH"
YTL,4677,"YTL Corporation Berhad","YTL",25,MISMATCH,"YTL CORP BHD","YTL"
YTLPOWR,6742,"YTL Power International Berhad","YTLPOWR",39,MISMATCH,"YTL POWER INTL BHD","YTLPOWR"
YTLREIT,5109,"YTL Hospitality REIT","YTLREIT",35,MISMATCH,"YTL HOSPITALITY REIT","YTLREIT"
ZENTECH,0094,"Zentech Group Berhad","ZENTECH",64,MISMATCH,"ZENTECH BHD","ZENTECH"
ZETRIX,0138,"Zetrix AI Berhad","ZETRIX",46,MISMATCH,"ZETRIX AI BHD","ZETRIX"
ZHULIAN,5131,"Zhulian Corporation Berhad","ZHULIAN",44,MISMATCH,"ZHULIAN CORP BHD","ZHULIAN"
